score,path,issues,title_len,title,desc_len,desc,h1_count,first_h1
4,yurgenis.html,TITLE_SHORT(19)|DESC_SHORT(117),19,Yurgenis · Twerkhub,117,"Yurgenis on Twerkhub — curated dance and fancam content. Watch the twerk collection, weekly drops and exclusive cuts.",1,Yurgenis
2,creators-seoul.html,DESC_SHORT(102),39,Best twerk creators in Seoul · Twerkhub,102,"Top Seoul + Busan twerk creators — BEFOX Dance Studio, K-pop fancam artists, stripdance studios. Korea",1,The Seoul stripdance hybrid.
2,group-kate-knaubl.html,TITLE_SHORT(22),22,Kate Knaubl · Twerkhub,140,Kate Knaubl on Twerkhub — choreo group archive &amp; dancer profile. Curated group archive collection. Weekly drops &amp; members-only cuts.,1,Kate Knaubl
2,group-kelvin-deejay.html,TITLE_SHORT(24),24,Kelvin Deejay · Twerkhub,142,Kelvin Deejay on Twerkhub — choreo group archive &amp; dancer profile. Curated group archive collection. Weekly drops &amp; members-only cuts.,1,Kelvin Deejay
2,group-lexy-panterra.html,TITLE_SHORT(24),24,Lexy Panterra · Twerkhub,142,Lexy Panterra on Twerkhub — choreo group archive &amp; dancer profile. Curated group archive collection. Weekly drops &amp; members-only cuts.,1,Lexy Panterra
2,index.html,DESC_SHORT(119),42,TWERKHUB · The platform for the uncut ones,119,"TWERKHUB — the private creator archive. 1,500+ curated 4K videos, private models, weekly drops, custom content for VIPs",1,The Platform for the uncut ones.
2,kato-dance-studio.html,TITLE_SHORT(28),28,Kato Dance Studio · Twerkhub,153,"Kato Dance Studio on Twerkhub — studio profile, choreographies &amp; student cuts. Curated dance studio collection. Weekly drops &amp; members-only cuts.",1,Kato Dance Studio
2,nastya-nass.html,TITLE_SHORT(22),22,Nastya Nass · Twerkhub,125,Nastya Nass on Twerkhub — curated dance &amp; fancam content. Curated twerk collection. Weekly drops &amp; members-only cuts.,1,Nastya Nass
2,premium-cosplay-fancam.html,NO_H1,52,Fan Cam Playlist - Alexia Twerk Exclusive · Twerkhub,141,"Premium Fan Cam Playlist - Exclusive curated collection of Alexia Twerk fancam videos. 4K HD exotic dance, choreography, and cosplay content.",0,
2,shoshina-katherina.html,TITLE_SHORT(29),29,Shoshina Katherina · Twerkhub,132,Shoshina Katherina on Twerkhub — curated dance &amp; fancam content. Curated twerk collection. Weekly drops &amp; members-only cuts.,1,Shoshina Katherina
