path,issues,current_title,proposed_title,t_len,current_desc,proposed_desc,d_len,h1
alexia-twerk-leaks.html,NO_TITLE|NO_DESC,,Alexia Twerk Group Official Archive · Twerkhub,46,,Alexia Twerk Group Official Archive on Twerkhub — private 4K archives & members-only drops. Curated exclusive pack collection. Weekly drops & members-only...,157,Alexia Twerk Group Official Archive
alexia-video-packs.html,NO_TITLE|NO_DESC,,Pick how deep you go · Twerkhub,31,,Pick how deep you go on Twerkhub — private 4K archives & members-only drops. Curated exclusive pack collection. Weekly drops & members-only cuts.,145,Pick how deep you go
best-twerk-dancers.html,NO_TITLE|NO_DESC,,Best Twerk Dancers & Studios · Twerkhub,39,,"Best Twerk Dancers & Studios on Twerkhub — choreo, fancam & dance challenge cuts. Curated twerk dance collection. Weekly drops & members-only cuts.",147,Best Twerk Dancers & Studios
creators-colombia.html,TITLE_LONG(81)|DESC_LONG(191),"Best twerk creators in Colombia · Medellín, Bogotá, Cali · reggaetón scene · 2026",The Colombian reggaetón floor · Twerkhub,40,"Top Colombian twerk + reggaetón creators — Medellín, Bogotá, and Cali dance studios, choreographers, fancam solo artists. The heart of the reggaetón floor-work scene. Complete Twerkhub guide.","The Colombian reggaetón floor on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",152,The Colombian reggaetón floor
creators-moscow.html,TITLE_LONG(76)|DESC_LONG(180),Best twerk creators in Moscow · Лада Гоцци · MDC NRG · TWERKIT Studio · 2026,The Moscow heels school · Twerkhub,34,"Top Moscow twerk creators — Лада Гоцци at Moscow Dance Centre NRG, Abasheva Yana + TWERKIT Studio, Dasha Kolesnikova, Kate Knaub. The Russian scene that shaped modern heels choreo.","The Moscow heels school on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",146,The Moscow heels school
creators-seoul.html,TITLE_LONG(77)|DESC_SHORT(102),Best twerk creators in Seoul · BEFOX + K-pop crossover · Busan fancams · 2026,The Seoul stripdance hybrid · Twerkhub,38,"Top Seoul + Busan twerk creators — BEFOX Dance Studio, K-pop fancam artists, stripdance studios. Korea","The Seoul stripdance hybrid on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",150,The Seoul stripdance hybrid
creators-taipei.html,TITLE_LONG(89)|DESC_LONG(189),"Best twerk creators in Taipei · iDance Studio roster · WanGong Lin, Angela, FOXYEN · 2026",The Taipei K-dance roster · Twerkhub,36,"Top 6 twerk creators working out of Taipei, Taiwan — WanGong Lin, Angela, FOXYEN, the full iDance Studio roster. K-dance choreography, 4K studio cuts, weekly drops. Complete Twerkhub guide.","The Taipei K-dance roster on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",148,The Taipei K-dance roster
creators.html,TITLE_LONG(66)|DESC_LONG(193),All Creators · Twerk choreographers + studios + dancers · Twerkhub,All Creators · Twerkhub,23,"The full Twerkhub creator roster — 40+ choreographers, studios and dance organizations across Russia, USA, Latam, Greece, Taiwan and more. Indexed profiles with reference cuts and booking info.","All Creators on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",135,All Creators
glossary.html,TITLE_LONG(74)|DESC_LONG(191),"Twerk glossary · 30+ terms · fancam, dembow, K-dance, perreo, heels choreo","Every word in the scene, explained · Twerkhub",45,"30+ twerk dance terms explained: fancam, dembow, K-dance, perreo, heels choreo, bounce, floor work, booty dance, stripdance, jazz-funk, reggaetón, stage cut. Twerkhub glossary · updated 2026.","Every word in the scene, explained on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.",140,"Every word in the scene, explained"
group-emiliano-ferrari-villalobo.html,NO_TITLE|NO_DESC,,Emiliano Ferrari Villalobo · Twerkhub,37,,Emiliano Ferrari Villalobo on Twerkhub — choreo group archive & dancer profile. Curated group archive collection. Weekly drops & members-only cuts.,147,Emiliano Ferrari Villalobo
